"","comname","season","num_obs"
"1","acadian redfish","Spring",50
"2","acadian redfish","Fall",50
"3","alewife","Spring",50
"4","alewife","Fall",50
"5","american lobster","Spring",48
"6","american lobster","Fall",47
"7","american plaice","Spring",50
"8","american plaice","Fall",50
"9","american shad","Spring",50
"10","american shad","Fall",50
"11","atlantic cod","Spring",50
"12","atlantic cod","Fall",50
"13","atlantic halibut","Spring",50
"14","atlantic halibut","Fall",47
"15","atlantic herring","Spring",50
"16","atlantic herring","Fall",50
"17","atlantic mackerel","Spring",50
"18","atlantic mackerel","Fall",50
"19","atlantic rock crab","Spring",50
"20","atlantic rock crab","Fall",50
"21","atlantic wolffish","Spring",50
"22","atlantic wolffish","Fall",49
"23","black sea bass","Spring",50
"24","black sea bass","Fall",50
"25","blackbelly rosefish","Spring",50
"26","blackbelly rosefish","Fall",50
"27","bluefish","Fall",49
"28","bluefish","Spring",39
"29","butterfish","Spring",50
"30","butterfish","Fall",50
"31","clearnose skate","Fall",48
"32","clearnose skate","Spring",47
"33","cusk","Spring",50
"34","cusk","Fall",50
"35","fourspot flounder","Spring",50
"36","fourspot flounder","Fall",50
"37","goosefish","Spring",50
"38","goosefish","Fall",50
"39","haddock","Spring",50
"40","haddock","Fall",50
"41","little skate","Spring",50
"42","little skate","Fall",50
"43","longfin squid","Spring",50
"44","longfin squid","Fall",50
"45","longhorn sculpin","Spring",50
"46","longhorn sculpin","Fall",50
"47","northern sand lance","Spring",50
"48","northern sand lance","Fall",49
"49","northern shortfin squid","Spring",50
"50","northern shortfin squid","Fall",50
"51","ocean pout","Spring",50
"52","ocean pout","Fall",50
"53","offshore hake","Spring",50
"54","offshore hake","Fall",50
"55","pollock","Spring",50
"56","pollock","Fall",50
"57","red hake","Spring",50
"58","red hake","Fall",50
"59","rosette skate","Fall",50
"60","rosette skate","Spring",49
"61","scup","Spring",50
"62","scup","Fall",50
"63","sea raven","Spring",50
"64","sea raven","Fall",50
"65","sea scallop","Spring",50
"66","sea scallop","Fall",50
"67","silver hake","Spring",50
"68","silver hake","Fall",50
"69","smooth dogfish","Spring",49
"70","smooth dogfish","Fall",49
"71","smooth skate","Spring",50
"72","smooth skate","Fall",50
"73","spiny dogfish","Spring",50
"74","spiny dogfish","Fall",50
"75","spotted hake","Spring",50
"76","spotted hake","Fall",50
"77","summer flounder","Spring",50
"78","summer flounder","Fall",50
"79","thorny skate","Spring",50
"80","thorny skate","Fall",50
"81","white hake","Spring",50
"82","white hake","Fall",50
"83","windowpane","Spring",50
"84","windowpane","Fall",50
"85","winter flounder","Spring",50
"86","winter flounder","Fall",50
"87","winter skate","Spring",50
"88","winter skate","Fall",50
"89","witch flounder","Spring",50
"90","witch flounder","Fall",50
"91","yellowtail flounder","Spring",50
"92","yellowtail flounder","Fall",50
