comname,sst,bt,lat,lon,depth,version
acadian redfish,0.001,0,0.618,0.609,0.292,revised
alewife,0.014,0.372,0,0.003,0,revised
american lobster,0.793,0.037,0,0,0.125,revised
american plaice,0.001,0.005,0.006,0.007,0.003,revised
american shad,0.027,0.014,0.257,0.418,0.119,revised
atlantic cod,0.002,0,0.005,0.227,0.92,revised
atlantic halibut,0.01,0.111,0.11,0.44,0.143,revised
atlantic herring,0.029,0.029,0.097,0.013,0.071,revised
atlantic mackerel,0.51,0.794,0.001,0.02,0.785,revised
atlantic rock crab,0.003,0.257,0.943,0.161,0.336,revised
atlantic wolffish,0.002,0.043,0.13,0.238,0.159,revised
black sea bass,0.085,0.759,0,0,0.466,revised
blackbelly rosefish,0.01,0.043,0,0,0,revised
bluefish,0.828,0.133,0.824,0.042,0.286,revised
butterfish,0.006,0.033,0.766,0.893,0.062,revised
clearnose skate,0.422,0.377,0.123,0.119,0.102,revised
cusk,0.004,0,0.033,0.007,0.4,revised
fourspot flounder,0.002,0,0.497,0.028,0,revised
goosefish,0.002,0,0.255,0.107,0.003,revised
haddock,0.001,0,0.082,0.028,0.513,revised
little skate,0,0.005,0,0.002,0.215,revised
longfin squid,0.021,0.001,0.846,0.427,0,revised
longhorn sculpin,0.005,0,0,0.191,0.311,revised
northern sand lance,0.008,0.523,0.992,0.923,0.057,revised
northern shortfin squid,0.002,0.001,0.042,0.363,0.007,revised
ocean pout,0.002,0,0.169,0.114,0.01,revised
offshore hake,0.008,0,0.002,0,0.486,revised
pollock,0.003,0.004,0,0.374,0.425,revised
red hake,0.008,0.003,0.072,0,0,revised
rosette skate,0.29,0.074,0.029,0.002,0.016,revised
scup,0.651,0.942,0.004,0.001,0.213,revised
sea raven,0.012,0,0.006,0.002,0.001,revised
sea scallop,0.14,0.241,0.04,0.017,0.478,revised
silver hake,0.03,0.058,0,0.001,0.029,revised
smooth dogfish,0.978,0.318,0.004,0.003,0.039,revised
smooth skate,0.005,0,0.058,0.1,0.007,revised
spiny dogfish,0.001,0.001,0.178,0.479,0.036,revised
spotted hake,0.138,0.048,0.093,0.003,0.002,revised
summer flounder,0.02,0.011,0,0.002,0.001,revised
thorny skate,0.001,0.001,0.035,0.674,0.175,revised
white hake,0.006,0,0.008,0.024,0.427,revised
windowpane,0,0.002,0.001,0,0.032,revised
winter flounder,0.019,0.002,0.006,0.087,0.004,revised
winter skate,0.001,0,0,0.086,0.03,revised
witch flounder,0,0,0.032,0.77,0,revised
yellowtail flounder,0.013,0.026,0.001,0.96,0.271,revised
acadian redfish,0.001,0,0.443,0.629,0.328,original
alewife,0.006,0.641,0,0.002,0,original
american lobster,0.628,0.033,0,0,0.072,original
american plaice,0,0.004,0.002,0.004,0.001,original
american shad,0.03,0.021,0.168,0.265,0.059,original
atlantic cod,0.001,0,0.002,0.182,0.682,original
atlantic hagfish,0.033,0.001,0.446,0.016,0.985,original
atlantic herring,0.016,0.016,0.063,0.012,0.086,original
atlantic mackerel,0.445,0.694,0,0.009,0.706,original
atlantic rock crab,0.067,0.235,0.59,0.085,0.613,original
black sea bass,0.064,0.583,0,0,0.255,original
blackbelly rosefish,0.004,0.026,0,0,0,original
butterfish,0.035,0.038,0.912,0.652,0.034,original
chain dogfish,0.168,0.003,0.001,0.012,0.008,original
cusk,0.001,0,0.024,0.002,0.246,original
fawn cusk-eel,0.032,0,0.675,0.666,0,original
fourbeard rockling,0.001,0.001,0.003,0,0,original
fourspot flounder,0.009,0.001,0.715,0.036,0,original
goosefish,0.003,0,0.152,0.058,0.002,original
gulf stream flounder,0.009,0.067,0.569,0.383,0,original
haddock,0,0,0.088,0.012,0.385,original
jonah crab,0.412,0.156,0.004,0.156,0.036,original
little skate,0,0.003,0,0.017,0.142,original
longfin squid,0.049,0,0.719,0.206,0,original
longhorn sculpin,0.003,0,0,0.112,0.31,original
northern sand lance,0.01,0.412,0.708,0.887,0.026,original
northern searobin,0.628,0.908,0,0.034,0.77,original
northern shortfin squid,0.012,0,0.205,0.782,0.002,original
ocean pout,0.001,0,0.082,0.08,0.004,original
offshore hake,0.139,0,0.024,0.07,0.55,original
pollock,0.001,0.001,0.002,0.663,0.324,original
red hake,0.007,0.006,0.034,0,0,original
rosette skate,0.593,0.061,0.025,0.035,0.009,original
scup,0.797,0.52,0.003,0.001,0.113,original
sea raven,0.007,0,0.009,0.001,0.001,original
sea scallop,0.171,0.131,0.039,0.007,0.616,original
silver hake,0.027,0.071,0,0,0.014,original
smooth dogfish,0.965,0.41,0.002,0.002,0.034,original
smooth skate,0.003,0,0.043,0.079,0.003,original
spiny dogfish,0,0.003,0.165,0.363,0.016,original
spotted hake,0.462,0.025,0.05,0.039,0.001,original
summer flounder,0.12,0.08,0,0.004,0,original
thorny skate,0,0,0.073,0.769,0.174,original
white hake,0.003,0,0.003,0.01,0.22,original
windowpane,0,0.001,0.002,0.004,0.149,original
winter flounder,0.014,0.003,0.003,0.071,0.002,original
winter skate,0.001,0,0,0.208,0.013,original
witch flounder,0,0,0.025,0.782,0,original
yellowtail flounder,0.021,0.024,0,0.758,0.283,original
