"","comname","season","total_catch","total_tows"
"1","alligatorfish","Fall",2160,410
"2","alligatorfish","Spring",2662,461
"3","american lobster","Fall",27024,5404
"4","american lobster","Spring",23338,4053
"5","armored searobin","Fall",1176,273
"6","armored searobin","Spring",1215,297
"7","atlantic argentine","Fall",1481,308
"8","atlantic argentine","Spring",6318,357
"9","atlantic hagfish","Spring",1418,541
"10","atlantic hagfish","Fall",1798,724
"11","atlantic halibut","Spring",444,285
"12","atlantic halibut","Fall",319,213
"13","atlantic wolffish","Spring",1181,546
"14","atlantic wolffish","Fall",843,351
"15","blueback herring","Fall",3016,365
"16","blueback herring","Spring",25412,2016
"17","chain dogfish","Spring",6491,735
"18","chain dogfish","Fall",5307,636
"19","clearnose skate","Fall",722,345
"20","clearnose skate","Spring",1439,608
"21","grenadier uncl","Fall",2610,335
"22","grenadier uncl","Spring",1627,291
"23","jonah crab","Fall",6613,2594
"24","jonah crab","Spring",5942,2134
"25","lanternfish uncl","Fall",63746,788
"26","lanternfish uncl","Spring",21709,722
"27","longfin hake","Spring",4609,296
"28","longfin hake","Fall",2973,379
"29","lumpfish","Spring",223,172
"30","lumpfish","Fall",282,204
"31","moustache sculpin","Spring",8020,296
"32","moustache sculpin","Fall",13873,397
"33","northern sand lance","Spring",250631,1234
"34","northern sand lance","Fall",81910,635
"35","rosette skate","Fall",3890,648
"36","rosette skate","Spring",2971,520
"37","shortnose greeneye","Spring",9891,449
"38","shortnose greeneye","Fall",9331,461
"39","smooth dogfish","Spring",37322,727
"40","smooth dogfish","Fall",3874,876
"41","striped searobin","Spring",7535,426
"42","striped searobin","Fall",1067,259
"43","weitzmans pearlsides","Fall",26314,404
"44","weitzmans pearlsides","Spring",7811,305
"45","wrymouth","Fall",493,262
"46","wrymouth","Spring",413,235
"47","yellowtail flounder","Spring",47313,3597
"48","yellowtail flounder","Fall",53155,2603
