"","comname","num_obs"
"1","acadian redfish",100
"2","alewife",100
"3","american plaice",100
"4","american shad",100
"5","atlantic cod",100
"6","atlantic herring",100
"7","atlantic mackerel",100
"8","atlantic rock crab",100
"9","black sea bass",100
"10","blackbelly rosefish",100
"11","butterfish",100
"12","cunner",100
"13","cusk",100
"14","fawn cusk-eel",100
"15","fourbeard rockling",100
"16","fourspot flounder",100
"17","goosefish",100
"18","gulf stream flounder",100
"19","haddock",100
"20","little skate",100
"21","longfin squid",100
"22","longhorn sculpin",100
"23","northern searobin",100
"24","northern shortfin squid",100
"25","ocean pout",100
"26","offshore hake",100
"27","pollock",100
"28","red hake",100
"29","scup",100
"30","sea raven",100
"31","sea scallop",100
"32","silver hake",100
"33","smooth skate",100
"34","spiny dogfish",100
"35","spotted hake",100
"36","summer flounder",100
"37","thorny skate",100
"38","white hake",100
"39","windowpane",100
"40","winter flounder",100
"41","winter skate",100
"42","witch flounder",100
"43","yellowtail flounder",100
"44","atlantic hagfish",99
"45","atlantic wolffish",99
"46","longfin hake",99
"47","northern sand lance",99
"48","rosette skate",99
"49","alligatorfish",98
"50","blueback herring",98
